date,us30_macross_ret,us30_breakout_ret,combined_ret
2018-01-11 00:00:00+00:00,0.0,0.002387088229544998,0.001193544114772499
2018-01-12 00:00:00+00:00,0.0,0.002382613293452852,0.001191306646726426
2018-01-15 00:00:00+00:00,0.0,0.0023215524160763385,0.0011607762080381692
2018-01-16 00:00:00+00:00,0.0,-0.00775180342489977,-0.003875901712449885
2018-01-17 00:00:00+00:00,0.0,0.0,0.0
2018-01-18 00:00:00+00:00,0.0,0.0,0.0
2018-01-19 00:00:00+00:00,0.0,0.0,0.0
2018-01-22 00:00:00+00:00,0.0,0.0,0.0
2018-01-23 00:00:00+00:00,0.0,0.002366444010902746,0.001183222005451373
2018-01-24 00:00:00+00:00,0.0,0.0,0.0
2018-01-25 00:00:00+00:00,0.0,0.0024118189291430403,0.0012059094645715202
2018-01-26 00:00:00+00:00,0.0,0.0,0.0
2018-01-29 00:00:00+00:00,0.0,0.0,0.0
2018-01-30 00:00:00+00:00,0.0,0.0,0.0
2018-01-31 00:00:00+00:00,0.0,0.0,0.0
2018-02-01 00:00:00+00:00,0.0,0.0024260346733696097,0.0012130173366848049
2018-02-02 00:00:00+00:00,0.0,0.0,0.0
2018-02-05 00:00:00+00:00,0.0,0.0049111817901392515,0.0024555908950696257
2018-02-06 00:00:00+00:00,0.0,0.002475136497361276,0.001237568248680638
2018-02-07 00:00:00+00:00,0.0,0.0,0.0
2018-02-08 00:00:00+00:00,0.0,0.0,0.0
2018-02-09 00:00:00+00:00,0.0,0.0,0.0
2018-02-12 00:00:00+00:00,0.0,0.0,0.0
2018-02-13 00:00:00+00:00,0.0,0.0,0.0
2018-02-14 00:00:00+00:00,0.0,0.0,0.0
2018-02-15 00:00:00+00:00,0.0,0.002464083618167422,0.001232041809083711
2018-02-16 00:00:00+00:00,0.0,0.0024542110399947805,0.0012271055199973902
2018-02-19 00:00:00+00:00,0.0,0.0,0.0
2018-02-20 00:00:00+00:00,0.0,0.0,0.0
2018-02-21 00:00:00+00:00,0.0,0.0,0.0
2018-02-22 00:00:00+00:00,-0.010110800361288972,0.0,-0.005055400180644486
2018-02-23 00:00:00+00:00,0.0,0.0,0.0
2018-02-26 00:00:00+00:00,0.00990325897143518,0.004872866193528476,0.007388062582481828
2018-02-27 00:00:00+00:00,0.0,0.0,0.0
2018-02-28 00:00:00+00:00,0.0,0.0,0.0
2018-03-01 00:00:00+00:00,0.009893795648616695,-0.007599608704394247,0.0011470934721112243
2018-03-02 00:00:00+00:00,0.0,0.002470597433012084,0.001235298716506042
2018-03-05 00:00:00+00:00,0.0,0.0,0.0
2018-03-07 00:00:00+00:00,0.0,0.0,0.0
2018-03-09 00:00:00+00:00,0.0,0.0,0.0
2018-03-12 00:00:00+00:00,0.0,-0.0009808841034744428,-0.0004904420517372214
2018-03-14 00:00:00+00:00,-0.01006282293025784,0.0,-0.00503141146512892
2018-03-15 00:00:00+00:00,0.0,0.0,0.0
2018-03-19 00:00:00+00:00,0.0,0.0,0.0
2018-03-22 00:00:00+00:00,0.009915952624201241,0.004928661430365277,0.007422307027283259
2018-03-23 00:00:00+00:00,0.0,0.0,0.0
