date,nas100_breakout_ret,us30_macross_ret,combined_fixed_ret,combined_rp_ret
2018-02-22 00:00:00+00:00,0.0,-0.010110800361288972,-0.005055400180644486,-0.0065296977284575045
2018-02-23 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-02-26 00:00:00+00:00,0.0,0.00990325897143518,0.00495162948571759,0.006395664566545043
2018-02-27 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-02-28 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-03-01 00:00:00+00:00,0.0,0.009893795648616695,0.004946897824308348,0.0063895530189619154
2018-03-02 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-03-05 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-03-07 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-03-09 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-03-12 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-03-14 00:00:00+00:00,0.0,-0.01006282293025784,-0.00503141146512892,-0.006498713225626191
2018-03-15 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-03-19 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-03-22 00:00:00+00:00,0.0,0.009915952624201241,0.004957976312100621,0.0064038623068495325
2018-03-23 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-03-26 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-03-27 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-03-28 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-03-29 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-02 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-03 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-04 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-05 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-06 00:00:00+00:00,0.004222673562319491,0.0,0.0021113367811597455,0.0014956113137696606
2018-04-09 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-10 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-11 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-12 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-13 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-15 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-16 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-17 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-18 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-19 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-20 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-22 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-23 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-24 00:00:00+00:00,0.0,0.009879245017435081,0.004939622508717541,0.006380156015759481
2018-04-25 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-26 00:00:00+00:00,0.0,0.0,0.0,0.0
2018-04-27 00:00:00+00:00,0.0,0.0,0.0,0.0
