date,nas100_ret,us30_ret,combined_ret
2018-02-06 00:00:00+00:00,-0.010428619865733615,0.0,-0.0052143099328668075
2018-02-08 00:00:00+00:00,0.0,0.0,0.0
2018-02-09 00:00:00+00:00,0.0,0.0,0.0
2018-02-15 00:00:00+00:00,0.0,0.0,0.0
2018-02-19 00:00:00+00:00,0.0,0.0,0.0
2018-02-20 00:00:00+00:00,0.0,0.0,0.0
2018-02-22 00:00:00+00:00,0.0,-0.010110800361288972,-0.005055400180644486
2018-02-23 00:00:00+00:00,0.0,0.0,0.0
2018-02-26 00:00:00+00:00,0.0,0.00990325897143518,0.00495162948571759
2018-02-27 00:00:00+00:00,0.0,0.0,0.0
2018-02-28 00:00:00+00:00,0.0,0.0,0.0
2018-03-01 00:00:00+00:00,-0.01030043933333107,0.009893795648616695,-0.0002033218423571877
2018-03-02 00:00:00+00:00,0.0,0.0,0.0
2018-03-05 00:00:00+00:00,0.0,0.0,0.0
2018-03-07 00:00:00+00:00,0.0,0.0,0.0
2018-03-09 00:00:00+00:00,0.0,0.0,0.0
2018-03-12 00:00:00+00:00,0.0,0.0,0.0
2018-03-13 00:00:00+00:00,0.0,0.0,0.0
2018-03-14 00:00:00+00:00,0.0,-0.01006282293025784,-0.00503141146512892
2018-03-15 00:00:00+00:00,0.0,0.0,0.0
2018-03-16 00:00:00+00:00,0.0,0.0,0.0
2018-03-19 00:00:00+00:00,0.0,0.0,0.0
2018-03-20 00:00:00+00:00,0.0,0.0,0.0
2018-03-22 00:00:00+00:00,0.0,0.009915952624201241,0.004957976312100621
2018-03-23 00:00:00+00:00,0.0,0.0,0.0
2018-03-26 00:00:00+00:00,0.0,0.0,0.0
2018-03-27 00:00:00+00:00,0.0,0.0,0.0
2018-03-28 00:00:00+00:00,0.0,0.0,0.0
2018-03-29 00:00:00+00:00,0.0,0.0,0.0
2018-04-02 00:00:00+00:00,0.0,0.0,0.0
2018-04-03 00:00:00+00:00,0.0,0.0,0.0
2018-04-04 00:00:00+00:00,0.0,0.0,0.0
2018-04-05 00:00:00+00:00,0.0,0.0,0.0
2018-04-06 00:00:00+00:00,0.0,0.0,0.0
2018-04-09 00:00:00+00:00,0.0,0.0,0.0
2018-04-10 00:00:00+00:00,0.0,0.0,0.0
2018-04-11 00:00:00+00:00,0.0,0.0,0.0
2018-04-12 00:00:00+00:00,0.0,0.0,0.0
2018-04-13 00:00:00+00:00,0.0,0.0,0.0
2018-04-15 00:00:00+00:00,0.0,0.0,0.0
2018-04-16 00:00:00+00:00,0.0,0.0,0.0
2018-04-17 00:00:00+00:00,0.0,0.0,0.0
2018-04-18 00:00:00+00:00,0.0,0.0,0.0
2018-04-19 00:00:00+00:00,0.0,0.0,0.0
2018-04-20 00:00:00+00:00,0.0,0.0,0.0
